Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,1,Female,94,Sales Executive,4,Single,5993,8,Yes,11,3,8,0,1,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,2,Male,61,Research Scientist,2,Married,5130,1,No,23,4,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,92,Laboratory Technician,3,Single,2090,6,Yes,15,3,7,3,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,5,Female,56,Research Scientist,3,Married,2909,1,Yes,11,3,8,3,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,1,Medical,7,Male,40,Laboratory Technician,2,Married,3468,9,No,12,3,6,3,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,8,Male,79,Laboratory Technician,4,Single,3068,0,No,13,3,8,2,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,3,Medical,10,Female,81,Laboratory Technician,1,Married,2670,4,Yes,20,4,12,3,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,11,Male,67,Laboratory Technician,3,Divorced,2693,1,No,22,4,1,2,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,12,Male,44,Manufacturing Director,3,Single,9526,0,No,21,4,10,2,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,3,Medical,13,Male,94,Healthcare Representative,3,Married,5237,6,No,13,3,17,3,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,3,Medical,14,Male,84,Laboratory Technician,2,Married,2426,0,No,13,3,6,5,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,15,Female,49,Laboratory Technician,3,Single,4193,0,Yes,12,3,10,3,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,16,Male,31,Research Scientist,3,Divorced,2911,1,No,17,3,5,1,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,2,Medical,18,Male,93,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,19,Male,50,Laboratory Technician,3,Single,2028,5,Yes,14,3,6,4,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,20,Female,51,Manufacturing Director,1,Divorced,9980,1,No,11,3,10,1,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,21,Male,80,Research Scientist,2,Divorced,3298,0,Yes,12,3,7,5,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,2,Medical,22,Male,96,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,1,2,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,23,Female,78,Manager,4,Married,15427,2,No,16,3,31,3,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,24,Male,45,Research Scientist,4,Single,3944,5,Yes,11,3,6,3,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,2,Other,26,Female,96,Manufacturing Director,3,Divorced,4011,0,No,18,3,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,27,Male,82,Sales Representative,1,Single,3407,7,No,23,4,10,4,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,28,Female,53,Research Director,2,Single,11994,0,No,11,3,13,4,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,30,Male,96,Research Scientist,4,Single,1232,1,No,14,3,0,6,3,0,0,0,0
